Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/3/2017 7:00,2017,1,3,7,127,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 8:00,2017,1,3,8,138,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 9:00,2017,1,3,9,139,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 10:00,2017,1,3,10,169,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 11:00,2017,1,3,11,186,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 12:00,2017,1,3,12,194,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 13:00,2017,1,3,13,182,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 14:00,2017,1,3,14,185,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 15:00,2017,1,3,15,141,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 16:00,2017,1,3,16,158,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 17:00,2017,1,3,17,152,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 18:00,2017,1,3,18,174,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 19:00,2017,1,3,19,175,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 20:00,2017,1,3,20,207,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 21:00,2017,1,3,21,202,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 22:00,2017,1,3,22,203,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2017 23:00,2017,1,3,23,198,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 0:00,2017,1,4,0,188,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 1:00,2017,1,4,1,191,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 2:00,2017,1,4,2,194,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 3:00,2017,1,4,3,190,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 4:00,2017,1,4,4,184,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 5:00,2017,1,4,5,184,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 6:00,2017,1,4,6,177,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 7:00,2017,1,4,7,187,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 8:00,2017,1,4,8,200,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 9:00,2017,1,4,9,200,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 10:00,2017,1,4,10,203,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 11:00,2017,1,4,11,203,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 12:00,2017,1,4,12,231,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 13:00,2017,1,4,13,254,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 14:00,2017,1,4,14,256,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 15:00,2017,1,4,15,256,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 16:00,2017,1,4,16,261,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 17:00,2017,1,4,17,246,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 18:00,2017,1,4,18,236,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 19:00,2017,1,4,19,238,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 20:00,2017,1,4,20,289,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 21:00,2017,1,4,21,333,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 22:00,2017,1,4,22,324,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2017 23:00,2017,1,4,23,324,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 0:00,2017,1,5,0,314,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 1:00,2017,1,5,1,324,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 2:00,2017,1,5,2,316,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 3:00,2017,1,5,3,300,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 4:00,2017,1,5,4,301,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 5:00,2017,1,5,5,299,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 6:00,2017,1,5,6,300,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 7:00,2017,1,5,7,283,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 8:00,2017,1,5,8,272,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 9:00,2017,1,5,9,273,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 10:00,2017,1,5,10,293,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 11:00,2017,1,5,11,322,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 12:00,2017,1,5,12,304,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 13:00,2017,1,5,13,280,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 14:00,2017,1,5,14,266,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 15:00,2017,1,5,15,190,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 16:00,2017,1,5,16,208,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 17:00,2017,1,5,17,-999,µg/m³,1 Hr,Missing
Chengdu,PM2.5,1/5/2017 18:00,2017,1,5,18,197,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 19:00,2017,1,5,19,230,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 20:00,2017,1,5,20,250,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 21:00,2017,1,5,21,253,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 22:00,2017,1,5,22,246,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2017 23:00,2017,1,5,23,241,µg/m³,1 Hr,Valid
