Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/3/2015 7:00,2015,1,3,7,191,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 8:00,2015,1,3,8,183,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 9:00,2015,1,3,9,169,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 10:00,2015,1,3,10,162,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 11:00,2015,1,3,11,170,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 12:00,2015,1,3,12,168,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 13:00,2015,1,3,13,170,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 14:00,2015,1,3,14,173,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 15:00,2015,1,3,15,188,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 16:00,2015,1,3,16,168,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 17:00,2015,1,3,17,167,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 18:00,2015,1,3,18,152,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 19:00,2015,1,3,19,154,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 20:00,2015,1,3,20,156,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 21:00,2015,1,3,21,158,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 22:00,2015,1,3,22,160,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2015 23:00,2015,1,3,23,157,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 0:00,2015,1,4,0,158,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 1:00,2015,1,4,1,160,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 2:00,2015,1,4,2,162,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 3:00,2015,1,4,3,174,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 4:00,2015,1,4,4,166,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 5:00,2015,1,4,5,173,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 6:00,2015,1,4,6,171,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 7:00,2015,1,4,7,178,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 8:00,2015,1,4,8,182,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 9:00,2015,1,4,9,191,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 10:00,2015,1,4,10,198,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 11:00,2015,1,4,11,202,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 12:00,2015,1,4,12,201,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 13:00,2015,1,4,13,195,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 14:00,2015,1,4,14,173,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 15:00,2015,1,4,15,155,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 16:00,2015,1,4,16,196,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 17:00,2015,1,4,17,232,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 18:00,2015,1,4,18,220,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 19:00,2015,1,4,19,233,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 20:00,2015,1,4,20,231,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 21:00,2015,1,4,21,230,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 22:00,2015,1,4,22,198,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2015 23:00,2015,1,4,23,161,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 0:00,2015,1,5,0,140,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 1:00,2015,1,5,1,153,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 2:00,2015,1,5,2,137,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 3:00,2015,1,5,3,145,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 4:00,2015,1,5,4,164,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 5:00,2015,1,5,5,135,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 6:00,2015,1,5,6,107,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 7:00,2015,1,5,7,97,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 8:00,2015,1,5,8,82,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 9:00,2015,1,5,9,82,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 10:00,2015,1,5,10,86,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 11:00,2015,1,5,11,115,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 12:00,2015,1,5,12,129,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 13:00,2015,1,5,13,130,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 14:00,2015,1,5,14,134,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 15:00,2015,1,5,15,148,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 16:00,2015,1,5,16,143,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 17:00,2015,1,5,17,164,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 18:00,2015,1,5,18,179,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 19:00,2015,1,5,19,189,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 20:00,2015,1,5,20,188,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 21:00,2015,1,5,21,212,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 22:00,2015,1,5,22,213,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2015 23:00,2015,1,5,23,197,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 0:00,2015,1,6,0,214,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 1:00,2015,1,6,1,109,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 2:00,2015,1,6,2,80,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 3:00,2015,1,6,3,81,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 4:00,2015,1,6,4,43,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 5:00,2015,1,6,5,30,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 6:00,2015,1,6,6,23,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 7:00,2015,1,6,7,17,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 8:00,2015,1,6,8,15,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 9:00,2015,1,6,9,22,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 10:00,2015,1,6,10,24,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 11:00,2015,1,6,11,25,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 12:00,2015,1,6,12,25,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 13:00,2015,1,6,13,21,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 14:00,2015,1,6,14,30,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 15:00,2015,1,6,15,27,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 16:00,2015,1,6,16,27,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 17:00,2015,1,6,17,35,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 18:00,2015,1,6,18,53,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 19:00,2015,1,6,19,52,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 20:00,2015,1,6,20,59,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 21:00,2015,1,6,21,59,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 22:00,2015,1,6,22,59,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/6/2015 23:00,2015,1,6,23,65,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 0:00,2015,1,7,0,77,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 1:00,2015,1,7,1,73,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 2:00,2015,1,7,2,80,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 3:00,2015,1,7,3,105,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 4:00,2015,1,7,4,104,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/7/2015 5:00,2015,1,7,5,71,µg/m³,1 Hr,Valid
